"时间","Fz Monitor: Fz Monitor (N)"
2.7199000000013154,58172.25968564183
2.7200000000013156,58152.25027932389
2.720100000001316,58131.74235610264
2.720200000001316,58110.08557049972
2.720300000001316,58087.20153623203
2.7204000000013164,58063.03199492511
2.7205000000013166,58037.88120065555
2.720600000001317,58012.05188335759
2.720700000001317,57985.47284819253
2.7208000000013173,57958.01548507973
2.7209000000013175,57929.95215543841
2.7210000000013177,57901.241011625505
2.721100000001318,57872.19276324202
2.721200000001318,57843.024315369636
2.7213000000013183,57813.68378629479
2.7214000000013185,57784.023750205895
2.7215000000013188,57754.33716282827
2.721600000001319,57724.01197458066
2.721700000001319,57692.64494621689
2.7218000000013194,57660.03948332841
2.7219000000013196,57626.49593839005
2.72200000000132,57592.50788259298
2.72210000000132,57557.97502884397
2.7222000000013202,57522.44353919917
2.7223000000013204,57485.78387510309
2.7224000000013207,57447.97818504019
2.722500000001321,57409.758896086816
2.722600000001321,57371.15323183451
2.7227000000013213,57332.38448033289
2.7228000000013215,57293.10029489639
2.7229000000013217,57253.59941014452
2.723000000001322,57213.270005438324
2.723100000001322,57171.82017011621
2.7232000000013223,57128.77425327919
2.7233000000013226,57084.62691919428
2.7234000000013228,57039.25713342838
2.723500000001323,56993.09158022889
2.723600000001323,56946.277617693515
2.7237000000013234,56898.54020261789
2.7238000000013236,56850.407514606115
2.723900000001324,56801.31506776647
2.724000000001324,56751.46841257508
2.7241000000013242,56700.91761523375
2.7242000000013245,56649.27542607737
2.7243000000013247,56597.2736210317
2.724400000001325,56544.15093910769
2.724500000001325,56490.13589436142
2.7246000000013253,56435.627048343275
2.7247000000013255,56380.75662568476
2.7248000000013257,56326.27200461349
2.724900000001326,56271.38284667933
2.725000000001326,56215.825024918406
2.7251000000013264,56159.31539871067
2.7252000000013266,56101.74646176895
2.7253000000013268,56043.15620961715
2.725400000001327,55983.67292905536
2.725500000001327,55923.39204908832
2.7256000000013274,55862.5099180169
2.7257000000013276,55800.93827882997
2.725800000001328,55739.49788179879
2.725900000001328,55677.51387223301
2.7260000000013282,55615.16970961728
